,q,r,s,value
78,16.0,-2.0,-14.0,0.5693074475826163
79,16.0,-1.0,-15.0,0.043216664120447446
80,19.0,-5.0,-14.0,0.5649470623799482
81,18.0,-4.0,-14.0,0.15270445479975936
82,18.0,-3.0,-15.0,0.6064978418246887
83,17.0,-2.0,-15.0,0.20432834731716998
84,17.0,-1.0,-16.0,0.5471155733516005
85,20.0,-5.0,-15.0,0.7205155243231811
86,19.0,-4.0,-15.0,0.09619768838628551
87,19.0,-3.0,-16.0,0.29858396982411883
88,18.0,-2.0,-16.0,0.35678598210366774
89,18.0,-1.0,-17.0,0.36074125022143566
90,21.0,-5.0,-16.0,0.11339663454763294
91,20.0,-4.0,-16.0,0.45303262759477014
92,20.0,-3.0,-17.0,0.33226142904073697
93,19.0,-2.0,-17.0,0.2502484234047705
94,19.0,-1.0,-18.0,0.026773235369243698
95,22.0,-5.0,-17.0,0.2651256125520345
96,21.0,-4.0,-17.0,0.6790591314840345
97,21.0,-3.0,-18.0,0.35216011253997503
98,20.0,-2.0,-18.0,0.8054274053253957
99,20.0,-1.0,-19.0,0.36375897078008657
100,23.0,-5.0,-18.0,0.9714513710909825
101,22.0,-4.0,-18.0,0.09571105845288685
102,22.0,-3.0,-19.0,0.9822142849304482
103,21.0,-2.0,-19.0,0.22153416053035535
104,21.0,-1.0,-20.0,0.08783033073806423
105,24.0,-5.0,-19.0,0.1385993454621569
106,23.0,-4.0,-19.0,0.31841208499437623
107,23.0,-3.0,-20.0,0.7717675382347485
108,22.0,-2.0,-20.0,0.2162304423319653
109,22.0,-1.0,-21.0,0.7098697782006095
110,25.0,-5.0,-20.0,0.959620028912804
111,24.0,-4.0,-20.0,0.5161404240419519
112,24.0,-3.0,-21.0,0.34307755197619416
113,23.0,-2.0,-21.0,0.2088749155388293
114,23.0,-1.0,-22.0,0.5414227909978406
115,26.0,-5.0,-21.0,0.04419266965401358
116,25.0,-4.0,-21.0,0.2226657377374991
117,25.0,-3.0,-22.0,0.9676973267330865
118,24.0,-2.0,-22.0,0.9148232046905118
119,24.0,-1.0,-23.0,0.011258577001859393
120,27.0,-5.0,-22.0,0.17672232167323532
121,26.0,-4.0,-22.0,0.2646968910469881
122,26.0,-3.0,-23.0,0.761803344163788
123,25.0,-2.0,-23.0,0.572900471515068
124,25.0,-1.0,-24.0,0.7890827094302677
125,28.0,-5.0,-23.0,0.2613784781384645
126,27.0,-4.0,-23.0,0.5853701839449906
127,27.0,-3.0,-24.0,0.9082205173403982
128,26.0,-2.0,-24.0,0.1788408027519468
129,26.0,-1.0,-25.0,0.06360688096568834
130,29.0,-5.0,-24.0,0.8032977165813059
131,28.0,-4.0,-24.0,0.5787094924538007
132,28.0,-3.0,-25.0,0.7853742207898581
133,27.0,-2.0,-25.0,0.19656614893955293
134,27.0,-1.0,-26.0,0.34465505552293263
135,30.0,-5.0,-25.0,0.4769561779945545
136,29.0,-4.0,-25.0,0.38486436627293497
137,29.0,-3.0,-26.0,0.8028448207317668
138,28.0,-2.0,-26.0,0.2906437249022926
139,28.0,-1.0,-27.0,0.3455707574083544
140,31.0,-5.0,-26.0,0.7712070976397595
141,30.0,-4.0,-26.0,0.04109290400816634
142,30.0,-3.0,-27.0,0.9555816434992699
143,29.0,-2.0,-27.0,0.9656321067139961
144,29.0,-1.0,-28.0,0.3775297196330575
145,32.0,-5.0,-27.0,0.013960862645994943
146,31.0,-4.0,-27.0,0.49691933248709996
147,31.0,-3.0,-28.0,0.11055221651868608
148,30.0,-2.0,-28.0,0.6271148128064424
149,30.0,-1.0,-29.0,0.06364292559315565
150,33.0,-5.0,-28.0,0.895799955144941
151,32.0,-4.0,-28.0,0.5717993050423212
152,32.0,-3.0,-29.0,0.046144444268866436
153,31.0,-2.0,-29.0,0.7469671393648918
154,31.0,-1.0,-30.0,0.619463478163066
155,34.0,-5.0,-29.0,0.35084633700360235
156,33.0,-4.0,-29.0,0.10411540948239295
157,33.0,-3.0,-30.0,0.6566954693459277
158,32.0,-2.0,-30.0,0.6336749577383952
159,32.0,-1.0,-31.0,0.6594577140975334
160,35.0,-5.0,-30.0,0.01565274074825518
161,34.0,-4.0,-30.0,0.21687353447652102
162,34.0,-3.0,-31.0,0.9371767369457303
163,33.0,-2.0,-31.0,0.6895932032774824
164,33.0,-1.0,-32.0,0.45007423106948496
165,36.0,-5.0,-31.0,0.26932936613914527
166,35.0,-4.0,-31.0,0.7341009514013637
167,35.0,-3.0,-32.0,0.6873803800629046
168,34.0,-2.0,-32.0,0.5069996146189578
169,34.0,-1.0,-33.0,0.8304538707040979
170,37.0,-5.0,-32.0,0.7023792897999664
171,36.0,-4.0,-32.0,0.5494391297837079
172,36.0,-3.0,-33.0,0.36546436404529914
173,35.0,-2.0,-33.0,0.7268361495828624
174,35.0,-1.0,-34.0,0.62600301169762
175,38.0,-5.0,-33.0,0.9265057140263002
176,37.0,-4.0,-33.0,0.11228085303286528
177,37.0,-3.0,-34.0,0.6384367617809895
178,36.0,-2.0,-34.0,0.8445059733746252
179,36.0,-1.0,-35.0,0.18141478582937665
180,39.0,-5.0,-34.0,0.3277265348370827
181,38.0,-4.0,-34.0,0.04537458754281909
182,38.0,-3.0,-35.0,0.2649783578812426
183,37.0,-2.0,-35.0,0.5501904325388141
184,37.0,-1.0,-36.0,0.9803202197402674
185,40.0,-5.0,-35.0,0.3044691407727842
186,39.0,-4.0,-35.0,0.7557304994723106
187,39.0,-3.0,-36.0,0.8256322878047238
188,38.0,-2.0,-36.0,0.8980704410812627
189,38.0,-1.0,-37.0,0.33671923589461616
190,41.0,-5.0,-36.0,0.6796454137254517
191,40.0,-4.0,-36.0,0.12950067382225028
192,40.0,-3.0,-37.0,0.297705349527533
193,39.0,-2.0,-37.0,0.4984796368913028
194,39.0,-1.0,-38.0,0.2483635697361014
195,42.0,-5.0,-37.0,0.36779394068053406
196,41.0,-4.0,-37.0,0.14971090167969714
197,41.0,-3.0,-38.0,0.7662769130877355
198,40.0,-2.0,-38.0,0.7272275529999235
199,40.0,-1.0,-39.0,0.7487400671811838
200,43.0,-5.0,-38.0,0.8493812502146331
201,42.0,-4.0,-38.0,0.3775594458813105
202,42.0,-3.0,-39.0,0.2550792939783887
203,41.0,-2.0,-39.0,0.5177780520365505
204,41.0,-1.0,-40.0,0.5363522637067045
205,44.0,-5.0,-39.0,0.42654215867236633
206,43.0,-4.0,-39.0,0.2494547818981564
207,43.0,-3.0,-40.0,0.6430242854962835
208,42.0,-2.0,-40.0,0.029708973120427862
209,42.0,-1.0,-41.0,0.41207977118703576
210,45.0,-5.0,-40.0,0.9649125064065084
211,44.0,-4.0,-40.0,0.24489248864157598
212,44.0,-3.0,-41.0,0.6918539189106798
213,43.0,-2.0,-41.0,0.6021848899596348
214,43.0,-1.0,-42.0,0.9850783493780649
215,46.0,-5.0,-41.0,0.8669547191634189
216,45.0,-4.0,-41.0,0.16502774609273063
217,45.0,-3.0,-42.0,0.39271959687761593
218,44.0,-2.0,-42.0,0.8930697118999279
219,44.0,-1.0,-43.0,0.6438826616778895
220,47.0,-5.0,-42.0,0.9981973822168843
221,46.0,-4.0,-42.0,0.008306519539552526
222,46.0,-3.0,-43.0,0.19018032654845796
223,45.0,-2.0,-43.0,0.6341482301088696
224,45.0,-1.0,-44.0,0.6246896397551737
225,48.0,-5.0,-43.0,0.046895502117063725
226,47.0,-4.0,-43.0,0.6599701446778266
227,47.0,-3.0,-44.0,0.5478746214614008
228,46.0,-2.0,-44.0,0.38624001611676373
229,46.0,-1.0,-45.0,0.7612378492503585
230,49.0,-5.0,-44.0,0.3028895158190702
231,48.0,-4.0,-44.0,0.7840273778683644
232,48.0,-3.0,-45.0,0.6843340385650519
233,47.0,-2.0,-45.0,0.5861809388591283
234,47.0,-1.0,-46.0,0.6577653647691017
235,50.0,-5.0,-45.0,0.11067224267555809
236,49.0,-4.0,-45.0,0.7617441084013643
237,49.0,-3.0,-46.0,0.17199441611316746
238,48.0,-2.0,-46.0,0.6972875199087927
239,48.0,-1.0,-47.0,0.08802547436372476
240,51.0,-5.0,-46.0,0.9772317441899074
241,50.0,-4.0,-46.0,0.4106324421505163
242,50.0,-3.0,-47.0,0.22974968909517224
243,49.0,-2.0,-47.0,0.0657551078581936
244,49.0,-1.0,-48.0,0.5214024886471108
245,52.0,-5.0,-47.0,0.7535726070085452
246,51.0,-4.0,-47.0,0.8164787035192796
247,51.0,-3.0,-48.0,0.5706376196328062
248,50.0,-2.0,-48.0,0.633696575309089
249,50.0,-1.0,-49.0,0.20715935114318496
250,53.0,-5.0,-48.0,0.18507154842861417
251,52.0,-4.0,-48.0,0.6715841793145854
252,52.0,-3.0,-49.0,0.6578849258273092
253,51.0,-2.0,-49.0,0.1798402263303428
254,51.0,-1.0,-50.0,0.8099980579207071
255,54.0,-5.0,-49.0,0.13280274337621578
256,53.0,-4.0,-49.0,0.3265373728117045
257,53.0,-3.0,-50.0,0.1919822145846185
258,52.0,-2.0,-50.0,0.6494641599672542
259,52.0,-1.0,-51.0,0.2486115375483483
260,55.0,-5.0,-50.0,0.26917304978702616
261,54.0,-4.0,-50.0,0.1005209637117821
262,54.0,-3.0,-51.0,0.4247971383572855
263,53.0,-2.0,-51.0,0.9681544909340905
264,53.0,-1.0,-52.0,0.7172925187719115
265,56.0,-5.0,-51.0,0.06264202779692651
266,55.0,-4.0,-51.0,0.9318760540590447
267,55.0,-3.0,-52.0,0.1468964187827596
268,54.0,-2.0,-52.0,0.4780714174833539
269,54.0,-1.0,-53.0,0.5517932687303867
270,57.0,-5.0,-52.0,0.4165398148553493
271,56.0,-4.0,-52.0,0.8059089197097161
272,56.0,-3.0,-53.0,0.05600954709106443
273,55.0,-2.0,-53.0,0.5464935450487459
274,55.0,-1.0,-54.0,0.3791894871986695
275,58.0,-5.0,-53.0,0.02331436608773585
276,57.0,-4.0,-53.0,0.9386867400777444
277,57.0,-3.0,-54.0,0.545509499676468
278,56.0,-2.0,-54.0,0.6930716631488159
279,56.0,-1.0,-55.0,0.3019397361665517
280,59.0,-5.0,-54.0,0.688280854614545
281,58.0,-4.0,-54.0,0.5504677088737482
282,58.0,-3.0,-55.0,0.28460047254030074
283,57.0,-2.0,-55.0,0.11846456130074234
284,57.0,-1.0,-56.0,0.6593711863448203
285,60.0,-5.0,-55.0,0.03636162637586671
286,59.0,-4.0,-55.0,0.7290988856657895
287,59.0,-3.0,-56.0,0.8083813824307047
288,58.0,-2.0,-56.0,0.6269579823364307
289,58.0,-1.0,-57.0,0.11394841029896752
290,61.0,-5.0,-56.0,0.5236917350759845
291,60.0,-4.0,-56.0,0.7638433167762191
292,60.0,-3.0,-57.0,0.5639281637703781
293,59.0,-2.0,-57.0,0.4493415249729312
294,59.0,-1.0,-58.0,0.05439970848720488
295,62.0,-5.0,-57.0,0.11107513424382776
296,61.0,-4.0,-57.0,0.836267755520141
297,61.0,-3.0,-58.0,0.2480987842609177
298,60.0,-2.0,-58.0,0.5819458334468343
299,60.0,-1.0,-59.0,0.114556450472446
300,63.0,-5.0,-58.0,0.7557738109089341
301,62.0,-4.0,-58.0,0.7853488167307409
302,62.0,-3.0,-59.0,0.7103746556731353
303,61.0,-2.0,-59.0,0.49968272788671586
304,61.0,-1.0,-60.0,0.3852434275740042
305,64.0,-5.0,-59.0,0.30927932996760554
306,63.0,-4.0,-59.0,0.8386180796216273
307,63.0,-3.0,-60.0,0.06986938467195736
308,62.0,-2.0,-60.0,0.4142134955026825
309,62.0,-1.0,-61.0,0.8758288400490732
310,65.0,-5.0,-60.0,0.4530846131100533
311,64.0,-4.0,-60.0,0.2716314812942553
312,64.0,-3.0,-61.0,0.6065472181839825
313,63.0,-2.0,-61.0,0.33038156259101636
314,63.0,-1.0,-62.0,0.4928278711394104
315,66.0,-5.0,-61.0,0.5939032238613028
316,65.0,-4.0,-61.0,0.5761793666031816
317,65.0,-3.0,-62.0,0.5992402805032628
318,64.0,-2.0,-62.0,0.1799833615837736
319,64.0,-1.0,-63.0,0.8728389522766719
320,66.0,-4.0,-62.0,0.6856581430423973
321,65.0,-2.0,-63.0,0.585677373063641
